# LAMMPS data file written by OVITO Basic 3.12.1

1500 atoms
2 atom types

-10.9699634716 16.4549452075 xlo xhi
-10.9699634716 16.4549452075 ylo yhi
-10.9699634716 16.4549452075 zlo zhi

Masses

1 22.98977  # Na
2 15.9994  # O

Atoms  # atomic

1 1 -9.5987180377 -6.8562271698 -6.8562271698
2 1 -6.8562271698 -9.5987180377 -9.5987180377
3 1 -9.5987180377 -9.5987180377 -9.5987180377
4 1 -6.8562271698 -6.8562271698 -6.8562271698
5 1 -6.8562271698 -6.8562271698 -9.5987180377
6 1 -9.5987180377 -9.5987180377 -6.8562271698
7 1 -6.8562271698 -9.5987180377 -6.8562271698
8 1 -9.5987180377 -6.8562271698 -9.5987180377
9 2 -10.9699634716 -10.9699634716 -10.9699634716
10 2 -10.9699634716 -8.2274726037 -8.2274726037
11 2 -8.2274726037 -10.9699634716 -8.2274726037
12 2 -8.2274726037 -8.2274726037 -10.9699634716
13 1 -9.5987180377 -6.8562271698 -1.371245434
14 1 -6.8562271698 -9.5987180377 -4.1137363019
15 1 -9.5987180377 -9.5987180377 -4.1137363019
16 1 -6.8562271698 -6.8562271698 -1.371245434
17 1 -6.8562271698 -6.8562271698 -4.1137363019
18 1 -9.5987180377 -9.5987180377 -1.371245434
19 1 -6.8562271698 -9.5987180377 -1.371245434
20 1 -9.5987180377 -6.8562271698 -4.1137363019
21 2 -10.9699634716 -10.9699634716 -5.4849817358
22 2 -10.9699634716 -8.2274726037 -2.7424908679
23 2 -8.2274726037 -10.9699634716 -2.7424908679
24 2 -8.2274726037 -8.2274726037 -5.4849817358
25 1 -9.5987180377 -6.8562271698 4.1137363019
26 1 -6.8562271698 -9.5987180377 1.371245434
27 1 -9.5987180377 -9.5987180377 1.371245434
28 1 -6.8562271698 -6.8562271698 4.1137363019
29 1 -6.8562271698 -6.8562271698 1.371245434
30 1 -9.5987180377 -9.5987180377 4.1137363019
31 1 -6.8562271698 -9.5987180377 4.1137363019
32 1 -9.5987180377 -6.8562271698 1.371245434
33 2 -10.9699634716 -10.9699634716 -3.5527136788e-15
34 2 -10.9699634716 -8.2274726037 2.7424908679
35 2 -8.2274726037 -10.9699634716 2.7424908679
36 2 -8.2274726037 -8.2274726037 -3.5527136788e-15
37 1 -9.5987180377 -6.8562271698 9.5987180377
38 1 -6.8562271698 -9.5987180377 6.8562271698
39 1 -9.5987180377 -9.5987180377 6.8562271698
40 1 -6.8562271698 -6.8562271698 9.5987180377
41 1 -6.8562271698 -6.8562271698 6.8562271698
42 1 -9.5987180377 -9.5987180377 9.5987180377
43 1 -6.8562271698 -9.5987180377 9.5987180377
44 1 -9.5987180377 -6.8562271698 6.8562271698
45 2 -10.9699634716 -10.9699634716 5.4849817358
46 2 -10.9699634716 -8.2274726037 8.2274726037
47 2 -8.2274726037 -10.9699634716 8.2274726037
48 2 -8.2274726037 -8.2274726037 5.4849817358
49 1 -9.5987180377 -6.8562271698 15.0836997735
50 1 -6.8562271698 -9.5987180377 12.3412089056
51 1 -9.5987180377 -9.5987180377 12.3412089056
52 1 -6.8562271698 -6.8562271698 15.0836997735
53 1 -6.8562271698 -6.8562271698 12.3412089056
54 1 -9.5987180377 -9.5987180377 15.0836997735
55 1 -6.8562271698 -9.5987180377 15.0836997735
56 1 -9.5987180377 -6.8562271698 12.3412089056
57 2 -10.9699634716 -10.9699634716 10.9699634716
58 2 -10.9699634716 -8.2274726037 13.7124543395
59 2 -8.2274726037 -10.9699634716 13.7124543395
60 2 -8.2274726037 -8.2274726037 10.9699634716
61 1 -9.5987180377 -1.371245434 -6.8562271698
62 1 -6.8562271698 -4.1137363019 -9.5987180377
63 1 -9.5987180377 -4.1137363019 -9.5987180377
64 1 -6.8562271698 -1.371245434 -6.8562271698
65 1 -6.8562271698 -1.371245434 -9.5987180377
66 1 -9.5987180377 -4.1137363019 -6.8562271698
67 1 -6.8562271698 -4.1137363019 -6.8562271698
68 1 -9.5987180377 -1.371245434 -9.5987180377
69 2 -10.9699634716 -5.4849817358 -10.9699634716
70 2 -10.9699634716 -2.7424908679 -8.2274726037
71 2 -8.2274726037 -5.4849817358 -8.2274726037
72 2 -8.2274726037 -2.7424908679 -10.9699634716
73 1 -9.5987180377 -1.371245434 -1.371245434
74 1 -6.8562271698 -4.1137363019 -4.1137363019
75 1 -9.5987180377 -4.1137363019 -4.1137363019
76 1 -6.8562271698 -1.371245434 -1.371245434
77 1 -6.8562271698 -1.371245434 -4.1137363019
78 1 -9.5987180377 -4.1137363019 -1.371245434
79 1 -6.8562271698 -4.1137363019 -1.371245434
80 1 -9.5987180377 -1.371245434 -4.1137363019
81 2 -10.9699634716 -5.4849817358 -5.4849817358
82 2 -10.9699634716 -2.7424908679 -2.7424908679
83 2 -8.2274726037 -5.4849817358 -2.7424908679
84 2 -8.2274726037 -2.7424908679 -5.4849817358
85 1 -9.5987180377 -1.371245434 4.1137363019
86 1 -6.8562271698 -4.1137363019 1.371245434
87 1 -9.5987180377 -4.1137363019 1.371245434
88 1 -6.8562271698 -1.371245434 4.1137363019
89 1 -6.8562271698 -1.371245434 1.371245434
90 1 -9.5987180377 -4.1137363019 4.1137363019
91 1 -6.8562271698 -4.1137363019 4.1137363019
92 1 -9.5987180377 -1.371245434 1.371245434
93 2 -10.9699634716 -5.4849817358 -3.5527136788e-15
94 2 -10.9699634716 -2.7424908679 2.7424908679
95 2 -8.2274726037 -5.4849817358 2.7424908679
96 2 -8.2274726037 -2.7424908679 -3.5527136788e-15
97 1 -9.5987180377 -1.371245434 9.5987180377
98 1 -6.8562271698 -4.1137363019 6.8562271698
99 1 -9.5987180377 -4.1137363019 6.8562271698
100 1 -6.8562271698 -1.371245434 9.5987180377
101 1 -6.8562271698 -1.371245434 6.8562271698
102 1 -9.5987180377 -4.1137363019 9.5987180377
103 1 -6.8562271698 -4.1137363019 9.5987180377
104 1 -9.5987180377 -1.371245434 6.8562271698
105 2 -10.9699634716 -5.4849817358 5.4849817358
106 2 -10.9699634716 -2.7424908679 8.2274726037
107 2 -8.2274726037 -5.4849817358 8.2274726037
108 2 -8.2274726037 -2.7424908679 5.4849817358
109 1 -9.5987180377 -1.371245434 15.0836997735
110 1 -6.8562271698 -4.1137363019 12.3412089056
111 1 -9.5987180377 -4.1137363019 12.3412089056
112 1 -6.8562271698 -1.371245434 15.0836997735
113 1 -6.8562271698 -1.371245434 12.3412089056
114 1 -9.5987180377 -4.1137363019 15.0836997735
115 1 -6.8562271698 -4.1137363019 15.0836997735
116 1 -9.5987180377 -1.371245434 12.3412089056
117 2 -10.9699634716 -5.4849817358 10.9699634716
118 2 -10.9699634716 -2.7424908679 13.7124543395
119 2 -8.2274726037 -5.4849817358 13.7124543395
120 2 -8.2274726037 -2.7424908679 10.9699634716
121 1 -9.5987180377 4.1137363019 -6.8562271698
122 1 -6.8562271698 1.371245434 -9.5987180377
123 1 -9.5987180377 1.371245434 -9.5987180377
124 1 -6.8562271698 4.1137363019 -6.8562271698
125 1 -6.8562271698 4.1137363019 -9.5987180377
126 1 -9.5987180377 1.371245434 -6.8562271698
127 1 -6.8562271698 1.371245434 -6.8562271698
128 1 -9.5987180377 4.1137363019 -9.5987180377
129 2 -10.9699634716 -2.3763568394e-15 -10.9699634716
130 2 -10.9699634716 2.7424908679 -8.2274726037
131 2 -8.2274726037 -2.2263568394e-15 -8.2274726037
132 2 -8.2274726037 2.7424908679 -10.9699634716
133 1 -9.5987180377 4.1137363019 -1.371245434
134 1 -6.8562271698 1.371245434 -4.1137363019
135 1 -9.5987180377 1.371245434 -4.1137363019
136 1 -6.8562271698 4.1137363019 -1.371245434
137 1 -6.8562271698 4.1137363019 -4.1137363019
138 1 -9.5987180377 1.371245434 -1.371245434
139 1 -6.8562271698 1.371245434 -1.371245434
140 1 -9.5987180377 4.1137363019 -4.1137363019
141 2 -10.9699634716 -2.0763568394e-15 -5.4849817358
142 2 -10.9699634716 2.7424908679 -2.7424908679
143 2 -8.2274726037 -1.9263568394e-15 -2.7424908679
144 2 -8.2274726037 2.7424908679 -5.4849817358
145 1 -9.5987180377 4.1137363019 4.1137363019
